1502019000 11568128 8.83 Sun, 06 Aug 2017 11:30:00 GMT
1502020800 9932584 7.58 Sun, 06 Aug 2017 12:00:00 GMT
1502022601 5070200 3.87 Sun, 06 Aug 2017 12:30:01 GMT
1502024400 7431888 5.67 Sun, 06 Aug 2017 13:00:00 GMT
1502033400 14522744 11.08 Sun, 06 Aug 2017 15:30:00 GMT
1502082000 22316632 17.03 Mon, 07 Aug 2017 05:00:00 GMT
1502083800 20900488 15.95 Mon, 07 Aug 2017 05:30:00 GMT
1502085600 25512368 19.46 Mon, 07 Aug 2017 06:00:00 GMT
1502087400 24306880 18.54 Mon, 07 Aug 2017 06:30:00 GMT
1502089200 19582056 14.94 Mon, 07 Aug 2017 07:00:00 GMT
1502091000 12786592 9.76 Mon, 07 Aug 2017 07:30:00 GMT
1502092800 15012168 11.45 Mon, 07 Aug 2017 08:00:00 GMT
1502110800 19128832 14.59 Mon, 07 Aug 2017 13:00:00 GMT
1502112600 14244728 10.87 Mon, 07 Aug 2017 13:30:00 GMT
1502114400 17001720 12.97 Mon, 07 Aug 2017 14:00:00 GMT
1502118000 20800576 15.87 Mon, 07 Aug 2017 15:00:00 GMT
1502119800 19138968 14.60 Mon, 07 Aug 2017 15:30:00 GMT
1502121600 20644888 15.75 Mon, 07 Aug 2017 16:00:00 GMT
1502123400 20644888 15.75 Mon, 07 Aug 2017 16:30:00 GMT
1502125200 15280048 11.66 Mon, 07 Aug 2017 17:00:00 GMT
1502127000 11298048 8.62 Mon, 07 Aug 2017 17:30:00 GMT
1502128800 18798688 14.34 Mon, 07 Aug 2017 18:00:00 GMT
1502130600 18855160 14.39 Mon, 07 Aug 2017 18:30:00 GMT
1502132400 16483336 12.58 Mon, 07 Aug 2017 19:00:00 GMT
1502134200 19110008 14.58 Mon, 07 Aug 2017 19:30:00 GMT
1502136000 19611016 14.96 Mon, 07 Aug 2017 20:00:00 GMT
1502137800 18768280 14.32 Mon, 07 Aug 2017 20:30:00 GMT
1502139600 13646704 10.41 Mon, 07 Aug 2017 21:00:00 GMT
1502141400 21982840 16.77 Mon, 07 Aug 2017 21:30:00 GMT
1502143201 18989824 14.49 Mon, 07 Aug 2017 22:00:01 GMT
1502145001 20242344 15.44 Mon, 07 Aug 2017 22:30:01 GMT
1502150400 22673536 17.30 Tue, 08 Aug 2017 00:00:00 GMT
1502152200 22297056 17.01 Tue, 08 Aug 2017 00:30:00 GMT
1502154000 22528736 17.19 Tue, 08 Aug 2017 01:00:00 GMT
1502155800 24122984 18.40 Tue, 08 Aug 2017 01:30:00 GMT
1502190000 22247824 16.97 Tue, 08 Aug 2017 11:00:00 GMT
